order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_time,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status
0671b2e93cae091a55f24e5b33705550,1,cf6db73155e09a3583117d7dbeeab445,0241d4d5d36f10f80c644447315af0bd,2017-12-18 03:55:36,39.9,18.89,moveis_decoracao,56.0,262.0,1.0,950.0,40.0,2.0,30.0,47e3a2dc9ad4a1a3e07f89ec91a82170,delivered,2017-12-09 02:35:31,2017-12-12 03:55:36,2017-12-12 23:28:27,2017-12-20 18:40:20,2018-01-08,12.0,99bd5e48b4ac82665104c02f457b1fe1,72546,brasilia,DF,Active
26466061ecf0630db081aea8581b871b,1,d42869d5edf603eb87c4b4cb40d11ca1,af3ef48d0e13835e529c29ac573c63e5,2018-06-11 19:13:40,53.0,18.25,pet_shop,54.0,459.0,1.0,9200.0,37.0,30.0,39.0,c278d9844e8b4f2dfa6edaea27845e8d,delivered,2018-06-05 18:50:22,2018-06-05 19:13:40,2018-06-07 14:41:00,2018-06-14 15:55:33,2018-07-04,9.0,93337754f95d4413a1a0cf3478a678f3,32412,ibirite,MG,Active
4b62f3ef255e276bf8564f8061361886,1,31fd02b02c33827cbde22902cf80338c,5f1dc28029d2c244352a68107ec2b542,2017-06-23 10:15:33,39.9,1.87,utilidades_domesticas,51.0,1224.0,2.0,200.0,26.0,3.0,21.0,8be124a574ac70fa7cbfe6d79845f9ba,delivered,2017-06-19 10:08:05,2017-06-19 10:15:33,2017-06-21 18:11:57,2017-06-23 11:13:44,2017-07-07,4.0,1d1ef6c7dc1da586a9f17a4ca49db776,13875,sao joao da boa vista,SP,Active
265e89a62092ab36c7e1852464cdb377,1,5328338cfaa16ba10561cd970c73ca11,12b9676b00f60f3b700e83af21824c0e,2017-05-16 16:03:00,238.0,28.14,cool_stuff,51.0,330.0,1.0,1950.0,33.0,44.0,19.0,d9099622aba33ba41b04642e07aaec3f,delivered,2017-05-02 20:55:58,2017-05-03 16:03:00,2017-05-11 15:42:52,2017-05-19 12:53:59,2017-06-09,17.0,3ffc9e7d9a645567da4f2fbd6a01aafc,39580,francisco sa,MG,Active
3999a126b43090c600e16c9044722e1c,1,b80921007ed3f68cf6e536e6daf08610,ea8482cd71df3c1969d7b9473ff13abc,2018-02-22 14:06:35,29.99,7.78,telefonia,58.0,751.0,4.0,300.0,17.0,4.0,12.0,038718a29c41e770aaeff44f49232eab,delivered,2018-02-16 15:04:38,2018-02-17 15:06:35,2018-02-21 20:03:40,2018-02-23 13:37:02,2018-03-05,7.0,e8c901de2619a65c9271aa51c5df1b2d,4466,sao paulo,SP,Active
a6ba686abe92f4b2c2cffcd962db019c,1,ca5c923962558430573f83661dbe36d6,66922902710d126a0e7d26b0e3805106,2018-08-01 18:44:22,105.0,18.54,pet_shop,59.0,747.0,2.0,1250.0,40.0,20.0,30.0,e561a64dcc3ccfc5c0de4b2c914cb59f,delivered,2018-07-30 17:26:37,2018-07-30 19:31:52,2018-08-01 16:22:00,2018-08-06 19:04:49,2018-08-07,7.0,6464d9201af097faef8c835c241396d1,5356,sao paulo,SP,Active
95b02752714c6c5c8aab8570ab649d52,1,c3e34cbfe33021ebcb984bc07aef6b73,f7ccf836d21b2fb1de37564105216cc1,2018-04-18 05:11:26,34.9,13.71,malas_acessorios,42.0,348.0,1.0,750.0,25.0,3.0,20.0,83c128364cdccfe3400af155692569e3,delivered,2018-04-11 10:47:51,2018-04-12 05:11:26,2018-04-12 19:13:28,2018-04-23 15:22:42,2018-05-04,12.0,2b0039d980ecb93ae5fd4db28402f7df,8142,sao paulo,SP,Active
13c6bd504e2a5056f0f471ea7b220507,2,cfe6e9c01d0bbb5df9a75f0e3286baa9,1d8dbc4f32378d715c717c1c1fc57bae,2017-06-21 04:30:29,110.0,4.0,bebes,47.0,224.0,2.0,1200.0,75.0,15.0,50.0,df1f8cd492dca10f9819016400f5cf9a,delivered,2017-06-12 17:48:05,2017-06-13 04:32:17,2017-06-20 11:26:03,2017-06-27 15:18:38,2017-07-19,15.0,a6067b8524c5ace8872e34f87a37c3f1,13295,itupeva,SP,Active
ee6c9efbbd90c63c4f1a545b9332032b,1,28a0482239353fd069dcf3e6d625ed5b,620c87c171fb2a6dd6e8bb4dec959fc6,2017-02-08 00:44:29,129.9,21.36,perfumaria,44.0,389.0,2.0,424.0,19.0,13.0,14.0,7bb2e1915001b30dda3466d6c81b2265,delivered,2017-02-04 00:44:29,2017-02-04 01:05:37,2017-02-07 08:53:54,2017-02-22 01:54:02,2017-03-21,18.0,3f25e9b278859125689d5d8373740260,56150,moreilandia,PE,Active
9674b842cc1b2c01f254872763800c1e,1,cbd0f39c794fee28d71a874538c18f77,d91fb3b7d041e83b64a00a3edfb37e4f,2018-08-06 17:20:30,54.9,8.12,eletrodomesticos,52.0,198.0,1.0,100.0,27.0,13.0,17.0,3652430bba4db0cca852f701651d7b9a,delivered,2018-07-31 16:19:44,2018-07-31 17:31:11,2018-08-01 13:16:00,2018-08-03 23:48:49,2018-08-07,3.0,8d21e972ab73ea7e9fe312188243090f,4225,sao paulo,SP,Active
